Semente,Lado,Porcentagem de Branco,Porcentagem de Branco Leitoso,Porcentagem de Vermelho Carmim Claro,Porcentagem de Vermelho Carmim Escuro,Quantidade de Buracos,Área Buraco/Área Semente
43,interno,69.74%,0.72%,37.84%,6.69%,0,0.00%
43,externo,0.06%,0.27%,54.37%,90.88%,0,0.00%
44,interno,65.24%,0.60%,48.67%,11.55%,0,0.00%
44,externo,0.24%,0.16%,36.37%,94.12%,0,0.00%
45,interno,59.19%,0.46%,56.69%,11.47%,0,0.00%
45,externo,0.09%,0.51%,59.38%,89.21%,0,0.00%
46,interno,58.33%,0.52%,56.99%,17.19%,0,0.00%
46,externo,0.11%,0.48%,46.91%,94.35%,0,0.00%
47,interno,68.06%,0.50%,44.52%,11.46%,0,0.00%
47,externo,0.29%,0.58%,47.03%,91.03%,0,0.00%
48,interno,52.28%,0.70%,63.15%,23.10%,0,0.00%
48,externo,0.00%,0.07%,30.85%,94.05%,0,0.00%
49,interno,61.62%,0.96%,53.42%,17.06%,0,0.00%
49,externo,0.04%,0.12%,31.55%,97.65%,0,0.00%
50,interno,62.91%,0.88%,47.41%,16.47%,0,0.00%
50,externo,0.28%,0.26%,47.03%,93.62%,0,0.00%
