Anzsic,Anzsic_description,Period,Data_value,Variable,Units,Gas,Status
ZSZ,Service industries,2020Q4,1807,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2021Q1,1764,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2021Q2,1984,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2021Q3,1757,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2021Q4,1735,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2014Q1,1449,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2014Q2,1458,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2014Q3,1508,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2014Q4,1509,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2015Q1,1580,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2015Q2,1637,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2015Q3,1609,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2015Q4,1648,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2016Q1,1609,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2016Q2,1622,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2016Q3,1685,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2016Q4,1664,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2017Q1,1706,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2017Q2,1737,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2017Q3,1786,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2017Q4,1717,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2018Q1,1845,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2018Q2,1804,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2018Q3,1766,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2018Q4,1800,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2019Q1,1780,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2019Q2,1809,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2019Q3,1820,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2019Q4,1738,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2020Q1,1740,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2020Q2,927,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2020Q3,1096,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2020Q4,1108,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2021Q1,1138,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2021Q2,1296,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2021Q3,1104,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
II1,"Transport, postal, and warehousing",2021Q4,1063,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2014Q1,631,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2014Q2,623,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2014Q3,621,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2014Q4,626,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2015Q1,615,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2015Q2,612,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2015Q3,619,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2015Q4,620,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2016Q1,625,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2016Q2,628,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2016Q3,640,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2016Q4,621,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2017Q1,639,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2017Q2,646,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2017Q3,630,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2017Q4,635,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2018Q1,605,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2018Q2,628,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2018Q3,603,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2018Q4,608,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2019Q1,662,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2019Q2,662,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2019Q3,700,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2019Q4,686,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2020Q1,673,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2020Q2,581,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2020Q3,666,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2020Q4,680,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2021Q1,672,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2021Q2,676,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2021Q3,642,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2021Q4,650,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2014Q1,18508,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2014Q2,18644,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2014Q3,18746,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2014Q4,18889,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2015Q1,18789,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2015Q2,18563,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2015Q3,18548,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2015Q4,18496,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2016Q1,18255,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2016Q2,18153,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2016Q3,18252,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2016Q4,17749,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2017Q1,17946,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2017Q2,18449,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2017Q3,18555,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2017Q4,18667,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2018Q1,18224,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2018Q2,18393,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2018Q3,18540,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2018Q4,18776,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2019Q1,19127,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2019Q2,19065,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2019Q3,18708,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2019Q4,18701,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2020Q1,18518,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2020Q2,17438,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2020Q3,18128,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2020Q4,17905,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2021Q1,18171,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2021Q2,19068,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2021Q3,16976,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2021Q4,17182,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2014Q1,1965,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2014Q2,2007,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2014Q3,2047,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2014Q4,2024,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2015Q1,2074,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2015Q2,2096,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2015Q3,2111,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2015Q4,2128,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2016Q1,2118,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2016Q2,2111,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2016Q3,2160,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2016Q4,2172,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2017Q1,2234,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2017Q2,2255,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2017Q3,2236,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2017Q4,2216,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2018Q1,2226,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2018Q2,2219,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2018Q3,2239,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2018Q4,2277,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2019Q1,2242,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2019Q2,2199,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2019Q3,2250,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2019Q4,2171,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2020Q1,2133,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2020Q2,1507,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2020Q3,2156,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2020Q4,2146,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2021Q1,2124,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2021Q2,2057,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2021Q3,1895,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2021Q4,1926,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2014Q1,1745,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2014Q2,1790,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2014Q3,1829,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2014Q4,1801,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2015Q1,1855,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2015Q2,1864,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2015Q3,1870,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2015Q4,1900,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2016Q1,1896,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2016Q2,1891,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2016Q3,1935,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2016Q4,1937,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2017Q1,1985,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2017Q2,2019,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2017Q3,2001,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2017Q4,1994,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2018Q1,1987,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2018Q2,1978,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2018Q3,2009,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2018Q4,2043,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2019Q1,2018,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2019Q2,1961,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2019Q3,2016,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2019Q4,1929,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2020Q1,1892,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2020Q2,1278,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2020Q3,1921,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2020Q4,1913,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2021Q1,1895,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2021Q2,1826,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2021Q3,1662,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2021Q4,1697,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2014Q1,160,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2014Q2,156,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2014Q3,156,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2014Q4,161,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2015Q1,155,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2015Q2,165,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2015Q3,170,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2015Q4,164,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2016Q1,154,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2016Q2,154,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2016Q3,160,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2016Q4,166,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2017Q1,181,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2017Q2,170,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2017Q3,167,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2017Q4,155,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2018Q1,173,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2018Q2,173,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2018Q3,163,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2018Q4,166,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2019Q1,158,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2019Q2,172,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2019Q3,169,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2019Q4,177,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2020Q1,178,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2020Q2,167,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2020Q3,174,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2020Q4,172,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2021Q1,169,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2021Q2,170,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2021Q3,173,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2021Q4,170,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2014Q1,60,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2014Q2,61,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2014Q3,62,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2014Q4,62,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2015Q1,63,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2015Q2,67,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2015Q3,70,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2015Q4,64,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2016Q1,69,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2016Q2,66,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2016Q3,65,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2016Q4,68,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2017Q1,68,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2017Q2,66,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2017Q3,68,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2017Q4,67,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2018Q1,66,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2018Q2,68,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2018Q3,66,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2018Q4,68,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2019Q1,67,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2019Q2,66,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2019Q3,65,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2019Q4,65,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2020Q1,63,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2020Q2,62,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2020Q3,61,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2020Q4,61,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2021Q1,61,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2021Q2,60,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2021Q3,60,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2021Q4,59,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2014Q1,20480,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2014Q2,20637,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2014Q3,20793,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2014Q4,20917,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2015Q1,20870,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2015Q2,20654,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2015Q3,20669,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2015Q4,20619,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2016Q1,20376,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2016Q2,20264,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2016Q3,20421,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2016Q4,19909,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2017Q1,20159,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2017Q2,20726,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2017Q3,20790,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2017Q4,20876,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2018Q1,20440,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2018Q2,20627,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2018Q3,20782,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2018Q4,21035,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2019Q1,21381,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2019Q2,21273,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2019Q3,20960,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2019Q4,20841,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2020Q1,20670,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2020Q2,18887,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2020Q3,20289,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2020Q4,20008,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2021Q1,20317,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2021Q2,21134,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2021Q3,18864,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2021Q4,19069,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
