Semente,Lado,Porcentagem de Branco,Porcentagem de Branco Leitoso,Porcentagem de Vermelho Carmim Claro,Porcentagem de Vermelho Carmim Escuro,Quantidade de Buracos,Área Buraco/Área Semente,Classe
44,interno,29.10%,16.33%,14.24%,0.76%,0,0.00%,5.0
44,externo,0.09%,0.00%,26.86%,30.04%,0,0.00%,5.0
45,interno,22.42%,7.91%,28.31%,0.01%,0,0.00%,4.0
45,externo,6.46%,2.42%,38.13%,2.43%,0,0.00%,4.0
46,interno,33.32%,11.79%,7.91%,0.42%,1,0.04%,3.0
46,externo,3.34%,2.40%,34.04%,13.57%,0,0.00%,3.0
47,interno,33.40%,17.45%,4.95%,0.00%,1,0.06%,3.0
47,externo,0.48%,0.00%,31.30%,7.10%,0,0.00%,3.0
48,interno,31.54%,19.65%,3.95%,0.02%,0,0.00%,6.0
48,externo,1.65%,0.00%,41.86%,3.24%,0,0.00%,6.0
49,interno,31.70%,17.17%,3.62%,0.00%,0,0.00%,3.0
49,externo,0.84%,0.09%,35.72%,4.00%,0,0.00%,3.0
50,interno,35.10%,21.61%,3.38%,0.00%,0,0.00%,3.0
50,externo,1.85%,0.55%,37.54%,5.68%,0,0.00%,3.0

Vigor,Viabilidade,% Classe 1,% Classe 2,% Classe 3,% Classe 4,% Classe 5,% Classe 6,% Classe 7
64.00%,98.00%,0.00%,6.00%,58.00%,20.00%,14.00%,2.00%,0.00%
